Step      Time, msec          Direction      Init Position  Next Position  
751       75003               UP             (202,274)      (202,262)      
752       75103               LEFT           (202,262)      (190,262)      
753       75203               LEFT           (190,262)      (178,262)      
754       75303               RIGHT          (178,262)      (190,262)      
755       75403               UP             (190,262)      (190,250)      
756       75503               UP             (190,250)      (190,238)      
757       75603               RIGHT          (190,238)      (202,238)      
758       75703               DOWN           (202,238)      (202,250)      
759       75804               RIGHT          (202,250)      (214,250)      
760       75903               RIGHT          (214,250)      (226,250)      
761       76003               LEFT           (226,250)      (214,250)      
762       76103               LEFT           (214,250)      (202,250)      
763       76203               DOWN           (202,250)      (202,262)      
764       76303               LEFT           (202,262)      (190,262)      
765       76403               UP             (190,262)      (190,250)      
766       76503               UP             (190,250)      (190,238)      
767       76603               RIGHT          (190,238)      (202,238)      
768       76703               RIGHT          (202,238)      (214,238)      
769       76804               RIGHT          (214,238)      (226,238)      
770       76903               UP             (226,238)      (226,226)      
771       77003               UP             (226,226)      (226,214)      
772       77103               LEFT           (226,214)      (214,214)      
773       77203               DOWN           (214,214)      (214,226)      
774       77303               DOWN           (214,226)      (214,238)      
775       77403               RIGHT          (214,238)      (226,238)      
776       77503               UP             (226,238)      (226,226)      
777       77603               LEFT           (226,226)      (214,226)      
778       77703               RIGHT          (214,226)      (226,226)      
779       77804               LEFT           (226,226)      (214,226)      
780       77903               DOWN           (214,226)      (214,238)      
781       78003               DOWN           (214,238)      (214,250)      
782       78103               LEFT           (214,250)      (202,250)      
783       78203               UP             (202,250)      (202,238)      
784       78303               DOWN           (202,238)      (202,250)      
785       78403               DOWN           (202,250)      (202,262)      
786       78503               LEFT           (202,262)      (190,262)      
787       78603               UP             (190,262)      (190,250)      
788       78703               DOWN           (190,250)      (190,262)      
789       78804               UP             (190,262)      (190,250)      
790       78903               RIGHT          (190,250)      (202,250)      
791       79003               LEFT           (202,250)      (190,250)      
792       79103               LEFT           (190,250)      (178,250)      
793       79203               RIGHT          (178,250)      (190,250)      
794       79303               UP             (190,250)      (190,238)      
795       79403               UP             (190,238)      (190,226)      
796       79503               DOWN           (190,226)      (190,238)      
797       79603               DOWN           (190,238)      (190,250)      
798       79703               UP             (190,250)      (190,238)      
799       79804               DOWN           (190,238)      (190,250)      
800       79903               RIGHT          (190,250)      (202,250)      
801       80003               DOWN           (202,250)      (202,262)      
802       80103               DOWN           (202,262)      (202,274)      
803       80203               LEFT           (202,274)      (190,274)      
804       80303               UP             (190,274)      (190,262)      
805       80403               LEFT           (190,262)      (178,262)      
806       80503               LEFT           (178,262)      (166,262)      
807       80603               UP             (166,262)      (166,250)      
808       80703               LEFT           (166,250)      (154,250)      
809       80804               RIGHT          (154,250)      (166,250)      
810       80903               LEFT           (166,250)      (154,250)      
811       81003               UP             (154,250)      (154,238)      
812       81104               LEFT           (154,238)      (142,238)      
813       81204               LEFT           (142,238)      (130,238)      
814       81304               DOWN           (130,238)      (130,250)      
815       81403               RIGHT          (130,250)      (142,250)      
816       81503               LEFT           (142,250)      (130,250)      
817       81603               UP             (130,250)      (130,238)      
818       81704               UP             (130,238)      (130,226)      
819       81804               UP             (130,226)      (130,214)      
820       81904               LEFT           (130,214)      (118,214)      
821       82004               DOWN           (118,214)      (118,226)      
822       82104               RIGHT          (118,226)      (130,226)      
823       82204               LEFT           (130,226)      (118,226)      
824       82304               DOWN           (118,226)      (118,238)      
825       82404               RIGHT          (118,238)      (130,238)      
826       82504               UP             (130,238)      (130,226)      
827       82604               LEFT           (130,226)      (118,226)      
828       82704               RIGHT          (118,226)      (130,226)      
829       82804               DOWN           (130,226)      (130,238)      
830       82904               DOWN           (130,238)      (130,250)      
831       83004               LEFT           (130,250)      (118,250)      
832       83104               LEFT           (118,250)      (106,250)      
833       83204               LEFT           (106,250)      (94,250)       
834       83304               RIGHT          (94,250)       (106,250)      
835       83404               DOWN           (106,250)      (106,262)      
836       83504               UP             (106,262)      (106,250)      
837       83604               RIGHT          (106,250)      (118,250)      
838       83704               DOWN           (118,250)      (118,262)      
839       83804               RIGHT          (118,262)      (130,262)      
840       83904               LEFT           (130,262)      (118,262)      
841       84004               DOWN           (118,262)      (118,274)      
842       84104               UP             (118,274)      (118,262)      
843       84204               RIGHT          (118,262)      (130,262)      
844       84304               UP             (130,262)      (130,250)      
845       84404               UP             (130,250)      (130,238)      
846       84504               LEFT           (130,238)      (118,238)      
847       84604               RIGHT          (118,238)      (130,238)      
848       84704               LEFT           (130,238)      (118,238)      
849       84804               LEFT           (118,238)      (106,238)      
850       84904               LEFT           (106,238)      (94,238)       
851       85004               UP             (94,238)       (94,226)       
852       85104               LEFT           (94,226)       (82,226)       
853       85204               UP             (82,226)       (82,214)       
854       85304               RIGHT          (82,214)       (94,214)       
855       85404               LEFT           (94,214)       (82,214)       
856       85504               DOWN           (82,214)       (82,226)       
857       85604               LEFT           (82,226)       (70,226)       
858       85704               UP             (70,226)       (70,214)       
859       85804               RIGHT          (70,214)       (82,214)       
860       85904               DOWN           (82,214)       (82,226)       
861       86004               LEFT           (82,226)       (70,226)       
862       86104               LEFT           (70,226)       (58,226)       
863       86204               LEFT           (58,226)       (46,226)       
864       86304               DOWN           (46,226)       (46,238)       
865       86404               DOWN           (46,238)       (46,250)       
866       86504               UP             (46,250)       (46,238)       
867       86604               DOWN           (46,238)       (46,250)       
868       86704               UP             (46,250)       (46,238)       
869       86804               LEFT           (46,238)       (34,238)       
870       86904               DOWN           (34,238)       (34,250)       
871       87004               UP             (34,250)       (34,238)       
872       87104               LEFT           (34,238)       (22,238)       
873       87204               UP             (22,238)       (22,226)       
874       87304               UP             (22,226)       (22,214)       
875       87404               RIGHT          (22,214)       (34,214)       
876       87504               RIGHT          (34,214)       (46,214)       
877       87604               LEFT           (46,214)       (34,214)       
878       87704               DOWN           (34,214)       (34,226)       
879       87804               LEFT           (34,226)       (22,226)       
880       87904               RIGHT          (22,226)       (34,226)       
881       88004               DOWN           (34,226)       (34,238)       
882       88104               UP             (34,238)       (34,226)       
883       88204               DOWN           (34,226)       (34,238)       
884       88304               LEFT           (34,238)       (22,238)       
885       88404               UP             (22,238)       (22,226)       
886       88504               DOWN           (22,226)       (22,238)       
887       88604               LEFT           (22,238)       (10,238)       
888       88704               LEFT           (22,238)       (10,238)       
889       88804               LEFT           (22,238)       (10,238)       
890       88904               LEFT           (22,238)       (10,238)       
891       89004               RIGHT          (22,238)       (34,238)       
892       89104               UP             (34,238)       (34,226)       
893       89204               UP             (34,226)       (34,214)       
894       89304               DOWN           (34,214)       (34,226)       
895       89404               LEFT           (34,226)       (22,226)       
896       89504               UP             (22,226)       (22,214)       
897       89604               DOWN           (22,214)       (22,226)       
898       89704               DOWN           (22,226)       (22,238)       
899       89804               LEFT           (22,238)       (10,238)       
900       89904               DOWN           (22,238)       (22,250)       
901       90004               LEFT           (22,250)       (10,250)       
902       90104               DOWN           (22,250)       (22,262)       
903       90204               DOWN           (22,262)       (22,274)       
904       90304               RIGHT          (22,274)       (34,274)       
905       90404               LEFT           (34,274)       (22,274)       
906       90504               RIGHT          (22,274)       (34,274)       
907       90604               UP             (34,274)       (34,262)       
908       90704               LEFT           (34,262)       (22,262)       
909       90804               RIGHT          (22,262)       (34,262)       
910       90904               DOWN           (34,262)       (34,274)       
911       91004               RIGHT          (34,274)       (46,274)       
912       91104               UP             (46,274)       (46,262)       
913       91204               RIGHT          (46,262)       (58,262)       
914       91304               DOWN           (58,262)       (58,274)       
915       91404               RIGHT          (58,274)       (70,274)       
916       91504               DOWN           (70,274)       (70,286)       
917       91604               LEFT           (70,286)       (58,286)       
918       91704               UP             (58,286)       (58,274)       
919       91804               RIGHT          (58,274)       (70,274)       
920       91904               UP             (70,274)       (70,262)       
921       92004               DOWN           (70,262)       (70,274)       
922       92104               LEFT           (70,274)       (58,274)       
923       92204               DOWN           (58,274)       (58,286)       
924       92304               UP             (58,286)       (58,274)       
925       92404               RIGHT          (58,274)       (70,274)       
926       92504               DOWN           (70,274)       (70,286)       
927       92604               RIGHT          (70,286)       (82,286)       
928       92704               LEFT           (82,286)       (70,286)       
929       92804               UP             (70,286)       (70,274)       
930       92904               UP             (70,274)       (70,262)       
931       93004               RIGHT          (70,262)       (82,262)       
932       93104               RIGHT          (82,262)       (94,262)       
933       93204               UP             (94,262)       (94,250)       
934       93304               LEFT           (94,250)       (82,250)       
935       93404               LEFT           (82,250)       (70,250)       
936       93504               LEFT           (70,250)       (58,250)       
937       93604               UP             (58,250)       (58,238)       
938       93704               LEFT           (58,238)       (46,238)       
939       93804               DOWN           (46,238)       (46,250)       
940       93904               LEFT           (46,250)       (34,250)       
941       94004               LEFT           (34,250)       (22,250)       
942       94104               DOWN           (22,250)       (22,262)       
943       94204               DOWN           (22,262)       (22,274)       
944       94304               LEFT           (22,274)       (10,274)       
945       94404               DOWN           (22,274)       (22,286)       
946       94504               LEFT           (22,286)       (10,286)       
947       94604               LEFT           (22,286)       (10,286)       
948       94704               RIGHT          (22,286)       (34,286)       
949       94804               UP             (34,286)       (34,274)       
950       94904               LEFT           (34,274)       (22,274)       
951       95004               UP             (22,274)       (22,262)       
952       95104               LEFT           (22,262)       (10,262)       
953       95204               RIGHT          (22,262)       (34,262)       
954       95304               LEFT           (34,262)       (22,262)       
955       95404               UP             (22,262)       (22,250)       
956       95504               UP             (22,250)       (22,238)       
957       95604               LEFT           (22,238)       (10,238)       
958       95704               LEFT           (22,238)       (10,238)       
959       95804               DOWN           (22,238)       (22,250)       
960       95904               RIGHT          (22,250)       (34,250)       
961       96004               RIGHT          (34,250)       (46,250)       
962       96104               LEFT           (46,250)       (34,250)       
963       96204               UP             (34,250)       (34,238)       
964       96304               LEFT           (34,238)       (22,238)       
965       96404               UP             (22,238)       (22,226)       
966       96504               DOWN           (22,226)       (22,238)       
967       96605               LEFT           (22,238)       (10,238)       
968       96704               LEFT           (22,238)       (10,238)       
969       96804               UP             (22,238)       (22,226)       
970       96904               RIGHT          (22,226)       (34,226)       
971       97004               RIGHT          (34,226)       (46,226)       
972       97104               DOWN           (46,226)       (46,238)       
973       97204               RIGHT          (46,238)       (58,238)       
974       97304               DOWN           (58,238)       (58,250)       
975       97404               LEFT           (58,250)       (46,250)       
976       97504               LEFT           (46,250)       (34,250)       
977       97604               DOWN           (34,250)       (34,262)       
978       97704               LEFT           (34,262)       (22,262)       
979       97804               UP             (22,262)       (22,250)       
980       97904               UP             (22,250)       (22,238)       
981       98004               LEFT           (22,238)       (10,238)       
982       98104               RIGHT          (22,238)       (34,238)       
983       98204               RIGHT          (34,238)       (46,238)       
984       98304               LEFT           (46,238)       (34,238)       
985       98404               RIGHT          (34,238)       (46,238)       
986       98504               UP             (46,238)       (46,226)       
987       98604               RIGHT          (46,226)       (58,226)       
988       98704               RIGHT          (58,226)       (70,226)       
989       98804               UP             (70,226)       (70,214)       
990       98904               RIGHT          (70,214)       (82,214)       
991       99004               RIGHT          (82,214)       (94,214)       
992       99104               DOWN           (94,214)       (94,226)       
993       99204               LEFT           (94,226)       (82,226)       
994       99304               RIGHT          (82,226)       (94,226)       
995       99404               LEFT           (94,226)       (82,226)       
996       99504               LEFT           (82,226)       (70,226)       
997       99604               UP             (70,226)       (70,214)       
998       99704               RIGHT          (70,214)       (82,214)       
999       99804               DOWN           (82,214)       (82,226)       
1000      99904               DOWN           (82,226)       (82,238)       
1001      100004              DOWN           (82,238)       (82,250)       
1002      100104              UP             (82,250)       (82,238)       
1003      100204              RIGHT          (82,238)       (94,238)       
1004      100304              RIGHT          (94,238)       (106,238)      
1005      100404              LEFT           (106,238)      (94,238)       
1006      100505              RIGHT          (94,238)       (106,238)      
1007      100604              LEFT           (106,238)      (94,238)       
1008      100704              LEFT           (94,238)       (82,238)       
1009      100804              UP             (82,238)       (82,226)       
1010      100904              LEFT           (82,226)       (70,226)       
1011      101004              DOWN           (70,226)       (70,238)       
1012      101104              RIGHT          (70,238)       (82,238)       
1013      101204              UP             (82,238)       (82,226)       
1014      101304              RIGHT          (82,226)       (94,226)       
1015      101404              DOWN           (94,226)       (94,238)       
1016      101505              DOWN           (94,238)       (94,250)       
1017      101604              DOWN           (94,250)       (94,262)       
1018      101704              RIGHT          (94,262)       (106,262)      
1019      101804              DOWN           (106,262)      (106,274)      
1020      101904              LEFT           (106,274)      (94,274)       
1021      102004              RIGHT          (94,274)       (106,274)      
1022      102104              LEFT           (106,274)      (94,274)       
1023      102204              RIGHT          (94,274)       (106,274)      
1024      102304              RIGHT          (106,274)      (118,274)      
1025      102404              UP             (118,274)      (118,262)      
1026      102505              DOWN           (118,262)      (118,274)      
1027      102604              DOWN           (118,274)      (118,286)      
1028      102704              LEFT           (118,286)      (106,286)      
1029      102804              LEFT           (106,286)      (94,286)       
1030      102904              DOWN           (94,286)       (94,298)       
1031      103004              UP             (94,298)       (94,286)       
1032      103104              UP             (94,286)       (94,274)       
1033      103204              UP             (94,274)       (94,262)       
1034      103304              RIGHT          (94,262)       (106,262)      
1035      103404              RIGHT          (106,262)      (118,262)      
1036      103505              LEFT           (118,262)      (106,262)      
1037      103604              RIGHT          (106,262)      (118,262)      
1038      103704              LEFT           (118,262)      (106,262)      
1039      103804              DOWN           (106,262)      (106,274)      
1040      103904              RIGHT          (106,274)      (118,274)      
1041      104004              RIGHT          (118,274)      (130,274)      
1042      104104              UP             (130,274)      (130,262)      
1043      104204              UP             (130,262)      (130,250)      
1044      104304              RIGHT          (130,250)      (142,250)      
1045      104404              LEFT           (142,250)      (130,250)      
1046      104505              RIGHT          (130,250)      (142,250)      
1047      104604              DOWN           (142,250)      (142,262)      
1048      104704              DOWN           (142,262)      (142,274)      
1049      104805              DOWN           (142,274)      (142,286)      
1050      104904              RIGHT          (142,286)      (154,286)      
1051      105005              UP             (154,286)      (154,274)      
1052      105104              LEFT           (154,274)      (142,274)      
1053      105204              DOWN           (142,274)      (142,286)      
1054      105305              RIGHT          (142,286)      (154,286)      
1055      105404              DOWN           (154,286)      (154,298)      
1056      105505              UP             (154,298)      (154,286)      
1057      105605              UP             (154,286)      (154,274)      
1058      105705              RIGHT          (154,274)      (166,274)      
1059      105805              UP             (166,274)      (166,262)      
1060      105905              DOWN           (166,262)      (166,274)      
1061      106005              LEFT           (166,274)      (154,274)      
1062      106105              LEFT           (154,274)      (142,274)      
1063      106205              UP             (142,274)      (142,262)      
1064      106305              LEFT           (142,262)      (130,262)      
1065      106405              RIGHT          (130,262)      (142,262)      
1066      106505              RIGHT          (142,262)      (154,262)      
1067      106605              UP             (154,262)      (154,250)      
1068      106705              DOWN           (154,250)      (154,262)      
1069      106805              UP             (154,262)      (154,250)      
1070      106905              UP             (154,250)      (154,238)      
1071      107005              RIGHT          (154,238)      (166,238)      
1072      107105              RIGHT          (166,238)      (178,238)      
1073      107205              UP             (178,238)      (178,226)      
1074      107305              UP             (178,226)      (178,214)      
1075      107405              UP             (178,214)      (178,202)      
1076      107505              DOWN           (178,202)      (178,214)      
1077      107605              RIGHT          (178,214)      (190,214)      
1078      107705              LEFT           (190,214)      (178,214)      
1079      107805              RIGHT          (178,214)      (190,214)      
1080      107905              LEFT           (190,214)      (178,214)      
1081      108005              LEFT           (178,214)      (166,214)      
1082      108105              UP             (166,214)      (166,202)      
1083      108205              UP             (166,202)      (166,190)      
1084      108305              DOWN           (166,190)      (166,202)      
1085      108405              LEFT           (166,202)      (154,202)      
1086      108505              LEFT           (154,202)      (142,202)      
1087      108605              LEFT           (142,202)      (130,202)      
1088      108705              LEFT           (130,202)      (118,202)      
1089      108805              LEFT           (118,202)      (106,202)      
1090      108905              UP             (106,202)      (106,190)      
1091      109005              LEFT           (106,190)      (94,190)       
1092      109105              LEFT           (94,190)       (82,190)       
1093      109205              DOWN           (82,190)       (82,202)       
1094      109305              LEFT           (82,202)       (70,202)       
1095      109405              LEFT           (70,202)       (58,202)       
1096      109505              RIGHT          (58,202)       (70,202)       
1097      109605              LEFT           (70,202)       (58,202)       
1098      109705              LEFT           (58,202)       (46,202)       
1099      109805              RIGHT          (46,202)       (58,202)       
1100      109905              DOWN           (58,202)       (58,214)       
1101      110005              UP             (58,214)       (58,202)       
1102      110105              DOWN           (58,202)       (58,214)       
1103      110205              LEFT           (58,214)       (46,214)       
1104      110305              UP             (46,214)       (46,202)       
1105      110405              RIGHT          (46,202)       (58,202)       
1106      110505              RIGHT          (58,202)       (70,202)       
1107      110605              LEFT           (70,202)       (58,202)       
1108      110705              DOWN           (58,202)       (58,214)       
1109      110805              UP             (58,214)       (58,202)       
1110      110905              RIGHT          (58,202)       (70,202)       
1111      111005              UP             (70,202)       (70,190)       
1112      111105              RIGHT          (70,190)       (82,190)       
1113      111205              LEFT           (82,190)       (70,190)       
1114      111305              DOWN           (70,190)       (70,202)       
1115      111405              UP             (70,202)       (70,190)       
1116      111505              DOWN           (70,190)       (70,202)       
1117      111605              LEFT           (70,202)       (58,202)       
1118      111705              DOWN           (58,202)       (58,214)       
1119      111805              DOWN           (58,214)       (58,226)       
1120      111905              RIGHT          (58,226)       (70,226)       
1121      112005              DOWN           (70,226)       (70,238)       
1122      112105              RIGHT          (70,238)       (82,238)       
1123      112205              UP             (82,238)       (82,226)       
1124      112305              DOWN           (82,226)       (82,238)       
1125      112405              LEFT           (82,238)       (70,238)       
1126      112505              DOWN           (70,238)       (70,250)       
1127      112605              UP             (70,250)       (70,238)       
1128      112705              RIGHT          (70,238)       (82,238)       
1129      112805              UP             (82,238)       (82,226)       
1130      112905              UP             (82,226)       (82,214)       
1131      113005              LEFT           (82,214)       (70,214)       
1132      113105              DOWN           (70,214)       (70,226)       
1133      113205              RIGHT          (70,226)       (82,226)       
1134      113305              RIGHT          (82,226)       (94,226)       
1135      113405              RIGHT          (94,226)       (106,226)      
1136      113505              RIGHT          (106,226)      (118,226)      
1137      113605              RIGHT          (118,226)      (130,226)      
1138      113705              RIGHT          (130,226)      (142,226)      
1139      113805              UP             (142,226)      (142,214)      
1140      113905              UP             (142,214)      (142,202)      
1141      114005              DOWN           (142,202)      (142,214)      
1142      114105              DOWN           (142,214)      (142,226)      
1143      114205              DOWN           (142,226)      (142,238)      
1144      114305              RIGHT          (142,238)      (154,238)      
1145      114405              LEFT           (154,238)      (142,238)      
1146      114505              RIGHT          (142,238)      (154,238)      
1147      114605              RIGHT          (154,238)      (166,238)      
1148      114705              DOWN           (166,238)      (166,250)      
1149      114805              RIGHT          (166,250)      (178,250)      
1150      114905              UP             (178,250)      (178,238)      
1151      115005              RIGHT          (178,238)      (190,238)      
1152      115105              RIGHT          (190,238)      (202,238)      
1153      115205              LEFT           (202,238)      (190,238)      
1154      115305              UP             (190,238)      (190,226)      
1155      115405              UP             (190,226)      (190,214)      
1156      115505              LEFT           (190,214)      (178,214)      
1157      115605              UP             (178,214)      (178,202)      
1158      115705              LEFT           (178,202)      (166,202)      
1159      115805              RIGHT          (166,202)      (178,202)      
1160      115905              RIGHT          (178,202)      (190,202)      
1161      116005              UP             (190,202)      (190,190)      
1162      116105              LEFT           (190,190)      (178,190)      
1163      116205              UP             (178,190)      (178,178)      
1164      116305              DOWN           (178,178)      (178,190)      
1165      116405              DOWN           (178,190)      (178,202)      
1166      116505              RIGHT          (178,202)      (190,202)      
1167      116605              RIGHT          (190,202)      (202,202)      
1168      116705              UP             (202,202)      (202,190)      
1169      116805              DOWN           (202,190)      (202,202)      
1170      116905              UP             (202,202)      (202,190)      
1171      117005              RIGHT          (202,190)      (214,190)      
1172      117105              DOWN           (214,190)      (214,202)      
1173      117205              LEFT           (214,202)      (202,202)      
1174      117305              LEFT           (202,202)      (190,202)      
1175      117405              LEFT           (190,202)      (178,202)      
1176      117505              LEFT           (178,202)      (166,202)      
1177      117605              UP             (166,202)      (166,190)      
1178      117705              RIGHT          (166,190)      (178,190)      
1179      117805              LEFT           (178,190)      (166,190)      
1180      117905              UP             (166,190)      (166,178)      
1181      118005              LEFT           (166,178)      (154,178)      
1182      118105              UP             (154,178)      (154,166)      
1183      118205              UP             (154,166)      (154,154)      
1184      118305              DOWN           (154,154)      (154,166)      
1185      118405              DOWN           (154,166)      (154,178)      
1186      118505              RIGHT          (154,178)      (166,178)      
1187      118605              RIGHT          (166,178)      (178,178)      
1188      118705              UP             (178,178)      (178,166)      
1189      118805              RIGHT          (178,166)      (190,166)      
1190      118905              LEFT           (190,166)      (178,166)      
1191      119005              UP             (178,166)      (178,154)      
1192      119105              RIGHT          (178,154)      (190,154)      
1193      119205              DOWN           (190,154)      (190,166)      
1194      119305              UP             (190,166)      (190,154)      
1195      119405              UP             (190,154)      (190,142)      
1196      119505              RIGHT          (190,142)      (202,142)      
1197      119605              UP             (202,142)      (202,130)      
1198      119705              UP             (202,130)      (202,118)      
1199      119805              UP             (202,118)      (202,106)      
1200      119905              LEFT           (202,106)      (190,106)      
1201      120005              DOWN           (190,106)      (190,118)      
1202      120105              UP             (190,118)      (190,106)      
1203      120205              DOWN           (190,106)      (190,118)      
1204      120305              LEFT           (190,118)      (178,118)      
1205      120405              UP             (178,118)      (178,106)      
1206      120505              LEFT           (178,106)      (166,106)      
1207      120605              LEFT           (166,106)      (154,106)      
1208      120705              RIGHT          (154,106)      (166,106)      
1209      120805              UP             (166,106)      (166,94)       
1210      120905              DOWN           (166,94)       (166,106)      
1211      121005              DOWN           (166,106)      (166,118)      
1212      121105              RIGHT          (166,118)      (178,118)      
1213      121205              LEFT           (178,118)      (166,118)      
1214      121305              UP             (166,118)      (166,106)      
1215      121405              DOWN           (166,106)      (166,118)      
1216      121505              LEFT           (166,118)      (154,118)      
1217      121605              UP             (154,118)      (154,106)      
1218      121705              DOWN           (154,106)      (154,118)      
1219      121805              DOWN           (154,118)      (154,130)      
1220      121905              UP             (154,130)      (154,118)      
1221      122005              UP             (154,118)      (154,106)      
1222      122105              UP             (154,106)      (154,94)       
1223      122205              RIGHT          (154,94)       (166,94)       
1224      122305              UP             (166,94)       (166,82)       
1225      122405              RIGHT          (166,82)       (178,82)       
1226      122505              DOWN           (178,82)       (178,94)       
1227      122605              DOWN           (178,94)       (178,106)      
1228      122705              DOWN           (178,106)      (178,118)      
1229      122805              RIGHT          (178,118)      (190,118)      
1230      122905              LEFT           (190,118)      (178,118)      
1231      123005              RIGHT          (178,118)      (190,118)      
1232      123105              LEFT           (190,118)      (178,118)      
1233      123205              UP             (178,118)      (178,106)      
1234      123305              LEFT           (178,106)      (166,106)      
1235      123405              UP             (166,106)      (166,94)       
1236      123505              RIGHT          (166,94)       (178,94)       
1237      123605              UP             (178,94)       (178,82)       
1238      123705              LEFT           (178,82)       (166,82)       
1239      123805              UP             (166,82)       (166,70)       
1240      123905              DOWN           (166,70)       (166,82)       
1241      124005              DOWN           (166,82)       (166,94)       
1242      124105              RIGHT          (166,94)       (178,94)       
1243      124205              LEFT           (178,94)       (166,94)       
1244      124305              LEFT           (166,94)       (154,94)       
1245      124405              UP             (154,94)       (154,82)       
1246      124506              RIGHT          (154,82)       (166,82)       
1247      124605              DOWN           (166,82)       (166,94)       
1248      124705              DOWN           (166,94)       (166,106)      
1249      124805              RIGHT          (166,106)      (178,106)      
1250      124905              UP             (178,106)      (178,94)       
1251      125005              RIGHT          (178,94)       (190,94)       
1252      125105              LEFT           (190,94)       (178,94)       
1253      125205              DOWN           (178,94)       (178,106)      
1254      125305              LEFT           (178,106)      (166,106)      
1255      125405              RIGHT          (166,106)      (178,106)      
1256      125505              UP             (178,106)      (178,94)       
1257      125605              UP             (178,94)       (178,82)       
1258      125705              RIGHT          (178,82)       (190,82)       
1259      125805              DOWN           (190,82)       (190,94)       
1260      125905              DOWN           (190,94)       (190,106)      
1261      126005              RIGHT          (190,106)      (202,106)      
1262      126105              RIGHT          (202,106)      (214,106)      
1263      126205              RIGHT          (214,106)      (226,106)      
1264      126305              RIGHT          (226,106)      (238,106)      
1265      126405              UP             (238,106)      (238,94)       
1266      126506              UP             (238,94)       (238,82)       
1267      126605              LEFT           (238,82)       (226,82)       
1268      126705              DOWN           (226,82)       (226,94)       
1269      126805              DOWN           (226,94)       (226,106)      
1270      126905              LEFT           (226,106)      (214,106)      
1271      127005              LEFT           (214,106)      (202,106)      
1272      127105              UP             (202,106)      (202,94)       
1273      127205              UP             (202,94)       (202,82)       
1274      127305              UP             (202,82)       (202,70)       
1275      127405              RIGHT          (202,70)       (214,70)       
1276      127506              UP             (214,70)       (214,58)       
1277      127605              RIGHT          (214,58)       (226,58)       
1278      127705              LEFT           (226,58)       (214,58)       
1279      127805              UP             (214,58)       (214,46)       
1280      127905              RIGHT          (214,46)       (226,46)       
1281      128005              DOWN           (226,46)       (226,58)       
1282      128105              DOWN           (226,58)       (226,70)       
1283      128205              LEFT           (226,70)       (214,70)       
1284      128305              RIGHT          (214,70)       (226,70)       
1285      128405              LEFT           (226,70)       (214,70)       
1286      128506              DOWN           (214,70)       (214,82)       
1287      128605              UP             (214,82)       (214,70)       
1288      128705              RIGHT          (214,70)       (226,70)       
1289      128805              UP             (226,70)       (226,58)       
1290      128905              UP             (226,58)       (226,46)       
1291      129005              LEFT           (226,46)       (214,46)       
1292      129105              LEFT           (214,46)       (202,46)       
1293      129205              UP             (202,46)       (202,34)       
1294      129305              DOWN           (202,34)       (202,46)       
1295      129405              RIGHT          (202,46)       (214,46)       
1296      129506              DOWN           (214,46)       (214,58)       
1297      129605              LEFT           (214,58)       (202,58)       
1298      129706              UP             (202,58)       (202,46)       
1299      129806              DOWN           (202,46)       (202,58)       
1300      129906              UP             (202,58)       (202,46)       
1301      130006              UP             (202,46)       (202,34)       
1302      130106              DOWN           (202,34)       (202,46)       
1303      130205              LEFT           (202,46)       (190,46)       
1304      130306              RIGHT          (190,46)       (202,46)       
1305      130406              LEFT           (202,46)       (190,46)       
1306      130506              LEFT           (190,46)       (178,46)       
1307      130606              UP             (178,46)       (178,34)       
1308      130706              DOWN           (178,34)       (178,46)       
1309      130806              UP             (178,46)       (178,34)       
1310      130906              RIGHT          (178,34)       (190,34)       
1311      131006              RIGHT          (190,34)       (202,34)       
1312      131106              DOWN           (202,34)       (202,46)       
1313      131206              UP             (202,46)       (202,34)       
1314      131306              UP             (202,34)       (202,22)       
1315      131406              UP             (202,22)       (202,10)       
1316      131506              DOWN           (202,22)       (202,34)       
1317      131606              RIGHT          (202,34)       (214,34)       
1318      131706              DOWN           (214,34)       (214,46)       
1319      131806              RIGHT          (214,46)       (226,46)       
1320      131906              RIGHT          (226,46)       (238,46)       
1321      132006              LEFT           (238,46)       (226,46)       
1322      132106              UP             (226,46)       (226,34)       
1323      132206              UP             (226,34)       (226,22)       
1324      132306              RIGHT          (226,22)       (238,22)       
1325      132406              LEFT           (238,22)       (226,22)       
1326      132506              UP             (226,22)       (226,10)       
1327      132606              UP             (226,22)       (226,10)       
1328      132706              UP             (226,22)       (226,10)       
1329      132806              LEFT           (226,22)       (214,22)       
1330      132906              RIGHT          (214,22)       (226,22)       
1331      133006              DOWN           (226,22)       (226,34)       
1332      133106              LEFT           (226,34)       (214,34)       
1333      133206              LEFT           (214,34)       (202,34)       
1334      133306              LEFT           (202,34)       (190,34)       
1335      133406              LEFT           (190,34)       (178,34)       
